domain,domain_length,family,tld,num_ratio,3-gram_check,4-gram_check,5-gram_check,6-gram_check,char_check,dist_mean,dist_median,dist_std,dist_max
jlppuvkglsxfrpgxiyhhhhuwdfdgsdupikizkriq.pro,44,makloader,pro,0.0,2,1,0,0,0.0,38.88165535790697,39.0,1.710235462444215,57.0
bncfkeffcclbkbcm.net,20,padcrypt,net,0.0,1,0,0,0,0.0,19.362369337979093,18.0,5.307785016864771,57.0
theprogramswiththatt.com,24,gozi,com,0.0,9,5,1,0,0.0,21.542086924628645,21.0,4.8720868636618375,58.0
uo6oteyio5e61mjb87.biz,22,rovnix,biz,0.18181818181818185,0,0,0,0,0.0,21.163274038755425,20.0,4.586923861321843,58.0
yzsnqir.biz,11,conficker,biz,0.0,0,0,0,0,0.0,16.881981376204738,15.0,7.631332307302669,58.0
kk12z44z7426afry.info,21,chinad,info,0.14285714285714285,1,0,0,0,0.0,20.737249628135377,20.0,4.858031847162679,54.0
1dt8xt2pp0ybj12xu8ucebbunl.org,30,gameover,org,0.2,2,0,0,0,0.0,27.01279621818775,27.0,2.842404629832901,57.0
mvabtbztpf.com,14,fobber,com,0.0,0,0,0,0,0.0,16.52101799213481,14.0,7.029735478799544,58.0
twvgncikvpn.com,15,pykspa,com,0.0,0,0,0,0,0.0,16.760559936426432,14.0,7.047200846523241,58.0
crk67cro31k67b58p32mzi35oqm59lqh34bqn60mw.net,45,murofetweekly,net,0.2,1,0,0,0,0.0,40.00362695356277,40.0,1.7992363645957794,56.0
kusqcut.info,12,shifu,info,0.0,1,0,0,0,0.0,16.671495812702492,15.0,7.466787187494978,57.0
n60brnqesf62g43jzk57jtl58bqlznznqm39fw.com,42,murofetweekly,com,0.14285714285714285,0,0,0,0,0.0,36.717953420135714,37.0,1.9458597968192644,57.0
cmixdurjdrxsapjyq.pw,20,ranbyus,pw,0.0,2,0,0,0,0.0,20.24192595309412,19.0,5.272454229227246,58.0
wltxiupbyrwbblvryrk.sc,22,necurs,sc,0.0,0,0,0,0,0.0,21.691260672005214,20.0,4.8727636439536,58.0
